,ctr_t1,ctr_t2,ctr_t3,ctr_s1,ctr_s2,ctr_s3,nik_t1,nik_t2,nik_t3,nik_s1,nik_s2,nik_s3,ikk_t1,ikk_t2,ikk_t3
Scgb2b26,0,0,0.001585301,0.006990994,0.006368385,0,0,0.001851746,0.005194124,0,0,0,0.003531068,0,0
Scgb1b27,0,0,0,0.027171098,0.009281728,0,0,0,0,0,0,0,0.005146424,0,0
Uba2,0.639155682,0.640585894,0.619384996,0.435514544,0.504368754,0.530075545,0.794789387,0.725314617,0.661071479,0.616966504,0.534072176,0.583741247,0.804105787,0.690760592,0.747819982
Wtip,0,0,0,0.003805082,0.000820944,0,0,0.00079569,0.002678282,0.00049806,0.000246192,0.001060506,0,0.000554876,0.002433318
Pdcd2l,0.121579521,0.137405812,0.07520986,0.082819018,0.126509808,0.088693335,0.118151073,0.141864647,0.122774441,0.119500854,0.104692256,0.113778399,0.148282637,0.134756199,0.117647881
Lsm14a,0.443242051,0.423489957,0.431167697,0.386410899,0.380056059,0.371206821,0.456171515,0.428384497,0.410692548,0.397217668,0.373248281,0.445574956,0.495424043,0.444828535,0.517865933
Cebpa,0.057336576,0.040220525,0.032004252,0.037997891,0.019779341,0.046782199,0.021619648,0.005751273,0,0.017999974,0.004448709,0,0.068543861,0,0.00628146
Cebpg,0.539747968,0.41370295,0.410421742,0.455871321,0.366773855,0.430722428,0.494570474,0.454483673,0.431895114,0.410311903,0.34809881,0.349156519,0.676935985,0.596521814,0.757163451
Slc7a10,0,0.002319816,0,0.008064402,0.000220386,0.000781887,0.247395076,0.274783549,0.268185716,0.604086087,0.540098703,0.508185254,0.000977576,0.000446876,0.000559916
Lrp3,0.001390215,0,0,0.003071061,0.000839267,0.001240649,0.048849093,0.040021751,0.056814762,0.102726486,0.07701627,0.058342265,0.000930694,0,0
Gpatch1,0.107822927,0.086288053,0.109688931,0.115769677,0.091489365,0.119922086,0.098308197,0.087308519,0.071944952,0.07127413,0.063213556,0.079708846,0.107641194,0.107050852,0.115038712
Slc7a9,0.001949333,0,0.00149988,0.005236319,0.00414235,0.002004036,0,0.001532972,0.001433322,0,0.002540959,0.001276978,0.001044001,0.001527171,0
Faap24,0.364420312,0.327552477,0.378094199,0.266735658,0.385950992,0.35153864,0.225699202,0.252251311,0.27880492,0.163319026,0.149613376,0.155078015,0.395722657,0.539525208,0.450666949
Cep89,0.036726841,0.025504834,0.033600815,0.027490639,0.035225556,0.046081673,0.04932133,0.050397192,0.045256652,0.026170128,0.026923583,0.025067948,0.048050835,0.047249168,0.049499203
Ankrd27,0.096518911,0.100610724,0.117563964,0.120979094,0.120518683,0.102601115,0.124499096,0.116086904,0.117669107,0.106331211,0.100764702,0.086609712,0.103276218,0.111627616,0.126555009
Rgs9bp,0.006119899,0.013198852,0.003924042,0.025956851,0.004926076,0.013981417,0.006461289,0.011458909,0.008571225,0.004482922,0.021272797,0.004772681,0.012017954,0.008989742,0.006257631
Pdcd5,1.168651884,1.044639937,0.832029667,0.685286124,0.873098145,0.794838737,1.340549385,1.149070024,1.188440314,0.94279899,1.014821704,1.138288795,1.437370211,1.607600541,1.30561511
Nudt19,0.252947793,0.219699167,0.247394269,0.296971615,0.250946325,0.304767813,0.386347196,0.370118992,0.319737454,0.327493685,0.275085123,0.262789484,0.294862162,0.318297966,0.269944719
Dpy19l3,0.058709288,0.069624875,0.062511985,0.116988558,0.095715962,0.101004676,0.05039041,0.062011236,0.054719488,0.046942193,0.049357722,0.046798933,0.072476453,0.072436824,0.060169436
